                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3368,                 3.4851,                  1.303,                0.46336,                 0.3194,                0.18428,                0.10587,                 1.2793,                 2.4411,                 1.3391,              0.0033293,              0.0033293,              0.0033293
                      2,                  1.284,                 2.3854,                  1.262,                0.57443,                0.34715,                0.33704,                0.20955,                 1.1149,                 1.7924,                  1.223,              0.0066077,              0.0066077,              0.0066077
                      3,                  1.267,                 2.1518,                 1.2453,                0.62244,                0.36037,                 0.3903,                0.24408,                  1.136,                 1.6726,                 1.2355,               0.009831,               0.009831,               0.009831
                      4,                 1.2692,                 2.0198,                 1.2391,                0.52591,                0.42755,                0.38377,                0.24227,                 1.1463,                 1.6273,                 1.2551,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.2523,                  1.869,                 1.2338,                0.56168,                 0.4606,                0.46293,                0.30472,                 1.0688,                 1.3005,                 1.1966,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.2279,                 1.7427,                 1.2222,                0.49849,                0.50196,                0.46867,                0.31132,                  1.082,                 1.4191,                 1.2036,                0.00967,                0.00967,                0.00967
                      7,                 1.2197,                 1.6709,                 1.2178,                0.61163,                0.49863,                0.50519,                0.33715,                 1.0591,                 1.2361,                 1.1865,              0.0095875,              0.0095875,              0.0095875
                      8,                 1.2038,                 1.6033,                 1.2138,                 0.5212,                0.48646,                0.50901,                0.34618,                 1.0651,                  1.117,                 1.1841,               0.009505,               0.009505,               0.009505
                      9,                  1.192,                 1.5586,                 1.2044,                0.53398,                0.56291,                0.53504,                0.36177,                 1.0449,                 1.0398,                 1.1789,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.1867,                 1.5161,                 1.2047,                0.49376,                 0.5259,                0.51891,                0.35077,                 1.0299,                 1.1151,                 1.1744,                0.00934,                0.00934,                0.00934
                     11,                 1.1744,                 1.4782,                 1.1937,                0.57605,                0.56205,                0.55676,                0.38561,                 1.0117,                 1.0122,                 1.1564,              0.0092575,              0.0092575,              0.0092575
                     12,                 1.1654,                 1.4351,                 1.1989,                0.52672,                0.56066,                0.56384,                0.38632,                 1.0299,                0.99167,                 1.1725,               0.009175,               0.009175,               0.009175
                     13,                 1.1677,                 1.4263,                 1.1913,                0.53393,                0.57999,                0.58483,                0.39949,                  1.014,                0.95809,                 1.1487,              0.0090925,              0.0090925,              0.0090925
                     14,                 1.1666,                 1.4109,                 1.1923,                 0.4935,                  0.616,                0.58691,                0.40625,                 1.0052,                0.96972,                  1.153,                0.00901,                0.00901,                0.00901
                     15,                 1.1524,                 1.3752,                 1.1838,                0.54236,                 0.5729,                0.59029,                0.40787,                 1.0043,                0.91973,                 1.1577,              0.0089275,              0.0089275,              0.0089275
                     16,                 1.1373,                 1.3696,                 1.1792,                0.57106,                0.59872,                0.60953,                0.42366,                 1.0048,                0.93236,                 1.1551,               0.008845,               0.008845,               0.008845
                     17,                 1.1475,                 1.3409,                 1.1845,                0.60124,                0.59544,                0.59174,                0.41271,                0.98068,                0.92195,                 1.1373,              0.0087625,              0.0087625,              0.0087625
                     18,                 1.1274,                 1.3289,                 1.1705,                 0.5731,                0.59983,                0.60322,                0.42138,                0.98039,                0.95945,                 1.1399,                0.00868,                0.00868,                0.00868
                     19,                 1.1339,                 1.3247,                  1.174,                0.58516,                  0.597,                0.60429,                0.41941,                0.99275,                0.93403,                 1.1394,              0.0085975,              0.0085975,              0.0085975
                     20,                 1.1201,                 1.2993,                 1.1654,                0.59972,                0.59504,                0.61442,                0.43079,                0.99246,                0.91509,                 1.1438,               0.008515,               0.008515,               0.008515
                     21,                 1.1235,                 1.2864,                 1.1734,                 0.6342,                 0.6221,                0.63311,                0.44332,                0.97849,                 0.8548,                 1.1329,              0.0084325,              0.0084325,              0.0084325
                     22,                 1.1211,                 1.2713,                 1.1642,                0.63017,                0.59981,                0.61876,                0.43125,                0.98177,                0.88217,                 1.1367,                0.00835,                0.00835,                0.00835
                     23,                 1.1169,                 1.2829,                 1.1683,                0.63608,                0.63576,                0.63482,                0.44363,                0.97185,                0.84164,                 1.1329,              0.0082675,              0.0082675,              0.0082675
                     24,                 1.1152,                 1.2696,                 1.1627,                0.61012,                0.62538,                0.63597,                  0.449,                  0.977,                0.83809,                 1.1286,               0.008185,               0.008185,               0.008185
                     25,                 1.1186,                 1.2654,                 1.1643,                0.65188,                0.64066,                0.64182,                0.44985,                0.98519,                0.82431,                 1.1343,              0.0081025,              0.0081025,              0.0081025
                     26,                 1.1028,                 1.2348,                 1.1577,                0.65458,                0.61148,                0.66406,                0.47467,                0.96091,                0.84667,                 1.1243,                0.00802,                0.00802,                0.00802
                     27,                 1.0929,                 1.2271,                 1.1544,                0.63999,                0.63753,                0.66752,                0.47906,                0.96666,                0.81833,                 1.1277,              0.0079375,              0.0079375,              0.0079375
                     28,                 1.1045,                 1.2333,                  1.161,                0.68901,                0.61912,                0.64425,                0.45917,                0.96259,                0.82058,                  1.125,               0.007855,               0.007855,               0.007855
                     29,                 1.0925,                 1.2206,                  1.152,                0.65848,                0.64228,                0.65317,                0.46645,                0.96242,                 0.8094,                 1.1292,              0.0077725,              0.0077725,              0.0077725
                     30,                 1.0834,                 1.2052,                 1.1497,                0.70165,                0.62958,                0.67132,                0.47859,                0.96893,                0.80015,                 1.1242,                0.00769,                0.00769,                0.00769
                     31,                 1.0874,                 1.2096,                 1.1508,                0.70701,                0.62641,                0.65071,                0.46659,                0.95481,                0.79675,                 1.1189,              0.0076075,              0.0076075,              0.0076075
                     32,                 1.0885,                 1.2045,                 1.1552,                 0.6565,                 0.6404,                0.66001,                0.47183,                0.94451,                0.81446,                 1.1072,               0.007525,               0.007525,               0.007525
                     33,                 1.0896,                 1.1946,                  1.155,                0.64713,                0.65475,                0.67306,                0.48393,                0.94955,                0.78101,                 1.1085,              0.0074425,              0.0074425,              0.0074425
                     34,                 1.0804,                 1.1818,                 1.1455,                0.66769,                 0.6432,                0.67716,                0.48809,                0.95055,                0.78093,                 1.1134,                0.00736,                0.00736,                0.00736
                     35,                 1.0634,                 1.1647,                 1.1411,                0.67771,                0.65871,                0.67101,                0.48519,                0.94049,                 0.7614,                 1.1098,              0.0072775,              0.0072775,              0.0072775
                     36,                 1.0828,                 1.1602,                 1.1461,                0.68245,                0.65269,                0.71666,                0.51716,                0.94461,                0.77952,                 1.1079,               0.007195,               0.007195,               0.007195
                     37,                 1.0826,                 1.1647,                 1.1473,                0.66994,                0.65721,                0.69027,                0.50231,                0.93893,                0.77357,                 1.1079,              0.0071125,              0.0071125,              0.0071125
                     38,                 1.0655,                 1.1498,                 1.1398,                0.67812,                0.64562,                0.66856,                0.48328,                0.93887,                0.79547,                  1.104,                0.00703,                0.00703,                0.00703
                     39,                 1.0608,                 1.1405,                 1.1441,                0.64269,                0.65267,                0.67356,                0.48596,                0.93867,                0.76216,                 1.1017,              0.0069475,              0.0069475,              0.0069475
                     40,                 1.0577,                 1.1407,                  1.136,                0.68713,                0.66629,                0.70222,                0.50702,                 0.9349,                0.73748,                 1.1015,               0.006865,               0.006865,               0.006865
                     41,                 1.0554,                 1.1373,                 1.1365,                0.71025,                0.65176,                0.68771,                0.49743,                0.93539,                0.73986,                 1.1052,              0.0067825,              0.0067825,              0.0067825
                     42,                 1.0574,                 1.1277,                  1.134,                0.70638,                0.65929,                0.69332,                0.50023,                0.93235,                0.73443,                 1.0987,                 0.0067,                 0.0067,                 0.0067
                     43,                 1.0623,                 1.1341,                 1.1359,                0.70494,                0.65824,                0.67966,                0.49338,                0.93014,                0.74622,                 1.0966,              0.0066175,              0.0066175,              0.0066175
                     44,                 1.0524,                  1.113,                 1.1289,                0.72866,                0.65135,                0.69016,                0.50207,                0.92807,                0.74048,                 1.1002,               0.006535,               0.006535,               0.006535
                     45,                 1.0577,                 1.1103,                 1.1367,                0.68827,                0.67054,                0.69339,                 0.4994,                0.92506,                0.73028,                 1.0949,              0.0064525,              0.0064525,              0.0064525
                     46,                  1.041,                 1.1039,                 1.1292,                0.70146,                0.67616,                0.69534,                0.50362,                0.92695,                0.72373,                 1.0947,                0.00637,                0.00637,                0.00637
                     47,                 1.0495,                 1.1059,                 1.1353,                0.73065,                0.65629,                0.69815,                0.50352,                0.92284,                0.72194,                 1.0934,              0.0062875,              0.0062875,              0.0062875
                     48,                 1.0459,                 1.1054,                 1.1291,                0.70058,                 0.6771,                 0.6986,                0.50622,                0.93234,                0.71266,                  1.098,               0.006205,               0.006205,               0.006205
                     49,                 1.0392,                 1.0882,                 1.1252,                0.71045,                0.67014,                 0.6996,                0.50958,                0.92052,                0.70414,                 1.0911,              0.0061225,              0.0061225,              0.0061225
                     50,                 1.0484,                 1.0988,                 1.1269,                0.72319,                0.65491,                0.69544,                0.49964,                0.92274,                0.70733,                 1.0919,                0.00604,                0.00604,                0.00604
                     51,                 1.0478,                 1.0838,                 1.1274,                0.70161,                0.68087,                0.70089,                0.50949,                0.91654,                0.69703,                 1.0908,              0.0059575,              0.0059575,              0.0059575
                     52,                 1.0466,                 1.0916,                 1.1301,                0.70986,                0.68075,                0.70941,                0.51682,                0.91872,                0.69877,                 1.0895,               0.005875,               0.005875,               0.005875
                     53,                  1.048,                 1.0775,                 1.1293,                0.72225,                 0.6749,                0.71129,                0.51552,                0.92262,                0.68882,                 1.0927,              0.0057925,              0.0057925,              0.0057925
                     54,                 1.0269,                 1.0753,                 1.1184,                0.71485,                0.68243,                  0.718,                0.52363,                0.91583,                0.69036,                 1.0888,                0.00571,                0.00571,                0.00571
                     55,                 1.0225,                 1.0697,                 1.1163,                0.71139,                0.69106,                0.71292,                 0.5244,                0.91373,                0.68697,                 1.0858,              0.0056275,              0.0056275,              0.0056275
                     56,                 1.0372,                  1.074,                 1.1283,                 0.7226,                0.68759,                 0.7172,                0.52597,                0.91269,                0.68775,                 1.0853,               0.005545,               0.005545,               0.005545
                     57,                 1.0237,                 1.0584,                 1.1182,                0.71496,                0.69192,                 0.7213,                0.52832,                 0.9077,                0.68229,                 1.0829,              0.0054625,              0.0054625,              0.0054625
                     58,                 1.0202,                 1.0562,                 1.1141,                 0.7174,                0.68757,                0.71902,                0.52583,                0.91128,                0.68332,                 1.0846,                0.00538,                0.00538,                0.00538
                     59,                 1.0189,                 1.0401,                 1.1176,                0.72088,                0.68615,                0.71751,                0.52584,                0.91131,                0.68921,                 1.0845,              0.0052975,              0.0052975,              0.0052975
                     60,                 1.0092,                 1.0401,                 1.1094,                0.72897,                0.68942,                0.73174,                0.53767,                0.90542,                0.67019,                 1.0821,               0.005215,               0.005215,               0.005215
                     61,                 1.0177,                   1.04,                 1.1158,                0.71361,                0.68811,                0.71257,                0.52134,                0.90694,                0.67263,                 1.0814,              0.0051325,              0.0051325,              0.0051325
                     62,                 1.0207,                 1.0235,                 1.1162,                0.73798,                0.67456,                0.72552,                 0.5353,                0.90206,                0.67176,                 1.0794,                0.00505,                0.00505,                0.00505
                     63,                 1.0156,                 1.0454,                 1.1143,                0.73625,                0.67469,                 0.7729,                0.57009,                0.90326,                0.67487,                 1.0816,              0.0049675,              0.0049675,              0.0049675
                     64,                 1.0164,                 1.0376,                 1.1157,                0.72492,                0.68759,                0.71933,                0.52943,                0.90426,                0.66353,                 1.0802,               0.004885,               0.004885,               0.004885
                     65,                 1.0012,                 1.0264,                 1.1069,                0.72551,                0.69209,                0.72668,                 0.5353,                0.90148,                 0.6634,                 1.0788,              0.0048025,              0.0048025,              0.0048025
                     66,                 1.0008,                 1.0202,                  1.109,                0.72392,                0.68709,                 0.7469,                0.55147,                0.90224,                0.65965,                 1.0792,                0.00472,                0.00472,                0.00472
                     67,                 1.0134,                 1.0243,                  1.113,                0.72095,                0.69059,                0.72987,                0.53797,                0.90431,                 0.6542,                 1.0811,              0.0046375,              0.0046375,              0.0046375
                     68,                  1.022,                 1.0236,                 1.1162,                0.72857,                0.68683,                0.73284,                0.54148,                0.89893,                0.65187,                 1.0775,               0.004555,               0.004555,               0.004555
                     69,                 1.0086,                  1.012,                 1.1097,                0.72947,                0.69494,                0.72655,                0.53719,                0.89707,                0.64984,                 1.0767,              0.0044725,              0.0044725,              0.0044725
                     70,                 1.0015,                0.99606,                 1.1047,                0.73767,                0.69476,                0.72874,                0.53854,                0.89752,                0.65048,                 1.0753,                0.00439,                0.00439,                0.00439
                     71,                0.99575,                 1.0006,                  1.105,                0.73355,                0.70485,                0.73643,                0.54336,                0.89581,                0.64858,                 1.0761,              0.0043075,              0.0043075,              0.0043075
                     72,                0.99273,                 1.0015,                 1.1054,                0.73458,                0.69709,                0.74418,                0.54892,                0.89658,                0.64119,                 1.0768,               0.004225,               0.004225,               0.004225
                     73,                 1.0023,                 1.0012,                 1.1048,                0.73121,                0.69919,                0.72655,                0.53723,                0.89807,                0.64283,                 1.0763,              0.0041425,              0.0041425,              0.0041425
                     74,                  1.003,                0.99215,                 1.1084,                 0.7318,                0.69461,                0.72881,                0.54058,                0.89658,                0.64053,                 1.0768,                0.00406,                0.00406,                0.00406
                     75,                0.99177,                0.97936,                 1.1036,                0.72314,                 0.7047,                0.72763,                 0.5386,                0.89536,                0.64013,                 1.0766,              0.0039775,              0.0039775,              0.0039775
                     76,                0.99589,                0.98229,                 1.1059,                0.74129,                0.70179,                0.73422,                0.54532,                0.89472,                0.63766,                 1.0756,               0.003895,               0.003895,               0.003895
                     77,                0.99687,                0.98507,                 1.1018,                0.73308,                0.70391,                0.73972,                0.55075,                0.89223,                0.63554,                 1.0741,              0.0038125,              0.0038125,              0.0038125
                     78,                0.99357,                0.97769,                 1.1022,                0.73824,                 0.7045,                0.73904,                0.54903,                 0.8892,                0.63444,                 1.0714,                0.00373,                0.00373,                0.00373
                     79,                0.98755,                0.97373,                 1.0927,                0.74044,                0.70396,                0.74217,                0.55188,                0.89424,                0.63619,                 1.0732,              0.0036475,              0.0036475,              0.0036475
                     80,                0.98998,                0.96797,                 1.0989,                0.74516,                0.70126,                 0.7425,                0.55398,                0.89248,                0.63379,                 1.0733,               0.003565,               0.003565,               0.003565
                     81,                0.98843,                0.97048,                 1.1031,                0.74023,                0.71097,                0.74552,                0.55559,                0.89223,                0.62845,                 1.0726,              0.0034825,              0.0034825,              0.0034825
                     82,                0.99267,                0.96785,                 1.1023,                0.74962,                0.70173,                0.74091,                0.54991,                0.89229,                0.62958,                  1.073,                 0.0034,                 0.0034,                 0.0034
                     83,                 0.9908,                0.96485,                 1.1019,                 0.7433,                0.70555,                0.74159,                0.55429,                0.89074,                0.62857,                 1.0715,              0.0033175,              0.0033175,              0.0033175
                     84,                0.98493,                0.95713,                 1.0928,                0.74405,                0.69986,                0.73615,                0.54712,                0.89041,                0.62542,                 1.0703,               0.003235,               0.003235,               0.003235
                     85,                0.98513,                0.95144,                 1.0965,                0.73659,                0.70569,                0.73794,                0.54959,                0.88878,                0.62315,                 1.0697,              0.0031525,              0.0031525,              0.0031525
                     86,                 0.9702,                0.94536,                 1.0885,                0.74389,                 0.7009,                0.74646,                0.55723,                0.88697,                 0.6244,                 1.0693,                0.00307,                0.00307,                0.00307
                     87,                0.96991,                0.94489,                 1.0919,                0.74382,                0.70018,                0.74859,                0.55933,                0.88527,                0.62088,                 1.0679,              0.0029875,              0.0029875,              0.0029875
                     88,                0.96941,                0.93674,                 1.0917,                0.74846,                0.70123,                0.74413,                 0.5549,                0.88476,                 0.6199,                 1.0678,               0.002905,               0.002905,               0.002905
                     89,                0.96523,                0.93096,                 1.0842,                0.75334,                0.69744,                0.74267,                0.55301,                0.88601,                0.62091,                 1.0675,              0.0028225,              0.0028225,              0.0028225
                     90,                0.97426,                 0.9412,                 1.0932,                0.75625,                0.69854,                0.74392,                0.55327,                0.88884,                 0.6183,                 1.0688,                0.00274,                0.00274,                0.00274
                     91,                0.96276,                0.92577,                 1.0871,                0.74273,                0.71023,                0.74352,                0.55424,                0.88704,                0.61627,                  1.068,              0.0026575,              0.0026575,              0.0026575
                     92,                0.96215,                0.92258,                 1.0889,                0.73609,                 0.7199,                0.74323,                0.55458,                0.88624,                0.61703,                 1.0678,               0.002575,               0.002575,               0.002575
                     93,                0.96273,                0.92426,                 1.0908,                0.73651,                0.71574,                0.74233,                0.55533,                0.88439,                0.61763,                 1.0667,              0.0024925,              0.0024925,              0.0024925
                     94,                0.96394,                0.91993,                 1.0929,                0.73917,                0.71124,                0.74436,                0.55564,                0.88508,                0.61675,                 1.0671,                0.00241,                0.00241,                0.00241
                     95,                0.95446,                0.91619,                 1.0795,                0.73756,                0.71604,                0.74633,                0.55814,                0.88538,                0.61295,                 1.0673,              0.0023275,              0.0023275,              0.0023275
                     96,                0.95144,                0.91119,                 1.0837,                 0.7429,                0.71034,                0.74579,                0.55802,                0.88245,                0.61038,                 1.0655,               0.002245,               0.002245,               0.002245
                     97,                0.95063,                0.90117,                 1.0801,                0.74831,                0.70713,                0.74422,                0.55682,                0.88227,                0.60943,                 1.0652,              0.0021625,              0.0021625,              0.0021625
                     98,                0.96662,                0.91357,                 1.0923,                0.74471,                0.70988,                0.74819,                 0.5597,                0.88312,                0.60911,                 1.0656,                0.00208,                0.00208,                0.00208
                     99,                0.94824,                0.89953,                 1.0783,                0.74017,                0.71904,                0.75055,                0.56102,                0.88304,                0.60876,                 1.0654,              0.0019975,              0.0019975,              0.0019975
                    100,                0.94985,                0.89046,                 1.0818,                0.74969,                0.71522,                 0.7521,                 0.5622,                0.88208,                0.60583,                 1.0649,               0.001915,               0.001915,               0.001915
                    101,                0.94222,                0.88589,                 1.0811,                0.74943,                0.71569,                0.75246,                0.56291,                0.88111,                0.60284,                 1.0641,              0.0018325,              0.0018325,              0.0018325
                    102,                0.96284,                0.89218,                 1.0894,                0.75251,                0.71516,                0.75505,                0.56458,                0.88097,                0.60308,                  1.064,                0.00175,                0.00175,                0.00175
                    103,                0.94202,                0.88015,                 1.0774,                0.75282,                0.71521,                0.75446,                0.56438,                0.88066,                0.60223,                 1.0637,              0.0016675,              0.0016675,              0.0016675
                    104,                0.94958,                0.88968,                 1.0804,                0.75331,                0.71713,                0.75512,                0.56485,                0.88035,                0.60212,                 1.0635,               0.001585,               0.001585,               0.001585
                    105,                0.94809,                 0.8817,                  1.081,                 0.7516,                0.71645,                0.75283,                0.56271,                0.87991,                0.60274,                 1.0632,              0.0015025,              0.0015025,              0.0015025
                    106,                0.94314,                0.87942,                 1.0791,                0.75462,                0.71587,                 0.7531,                 0.5639,                0.87935,                0.60231,                 1.0627,                0.00142,                0.00142,                0.00142
                    107,                0.93165,                0.87428,                 1.0732,                 0.7553,                0.71962,                0.75409,                0.56456,                0.87972,                0.60347,                 1.0631,              0.0013375,              0.0013375,              0.0013375
                    108,                0.93402,                0.87177,                 1.0794,                0.75407,                0.72078,                0.75513,                0.56597,                0.88013,                0.60418,                 1.0634,               0.001255,               0.001255,               0.001255
                    109,                0.93367,                0.87483,                 1.0748,                0.75443,                0.71737,                0.75602,                0.56596,                0.87969,                0.60287,                 1.0632,              0.0011725,              0.0011725,              0.0011725
                    110,                0.93609,                0.85929,                 1.0737,                 0.7504,                0.72134,                0.75669,                0.56627,                0.87945,                0.60232,                 1.0628,                0.00109,                0.00109,                0.00109
                    111,                0.91922,                0.80459,                 1.0998,                  0.754,                0.71597,                0.75449,                0.56434,                0.87996,                0.60098,                  1.063,              0.0010075,              0.0010075,              0.0010075
                    112,                0.91081,                0.79164,                 1.0994,                0.75237,                0.71743,                0.75361,                0.56372,                0.87989,                0.60154,                 1.0632,               0.000925,               0.000925,               0.000925
                    113,                0.90476,                0.78275,                 1.0906,                 0.7535,                0.71511,                0.75274,                0.56372,                0.87998,                0.60116,                 1.0632,              0.0008425,              0.0008425,              0.0008425
